Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Start,Open,High,Low,Close,Volume,Market Cap,order_number,risk_of_PAD
2017-10-04,170,-1,0.12,0.88,0.0,0.0,0.0,2017-10-03,0.263386939,0.299730348,0.223770198,0.262944525,20373.509789117485,3883248.564795034,4,0
2017-10-05,171,1,0.0,0.636,0.364,0.0,0.0,2017-10-04,0.263002055,0.269261433,0.22200029,0.230933213,15140.805897727774,3745103.505460298,4,0
2017-10-06,172,0,0.0256666666666666,0.7799999999999999,0.1943333333333333,0.6666666666666666,0.0,2017-10-05,0.231055023,0.247266106,0.213863713,0.219908947,9556.189416803698,3439295.3508483027,4,0
2017-10-07,173,0,0.0,1.0,0.0,1.0,0.0,2017-10-06,0.225237397,0.252411342,0.221274326,0.222639987,6955.904426701316,3581313.159215345,4,0
2017-10-08,174,1,0.0,0.7233333333333333,0.2766666666666666,0.3333333333333333,0.0,2017-10-07,0.222604594,0.237747313,0.217923144,0.233375302,8545.95961801223,3553118.7209180305,4,0
2017-10-10,175,1,0.0,0.8285,0.1715,0.5,0.0,2017-10-09,0.235957444,0.23684116,0.182656066,0.182900237,12547.649955103663,3429262.405933892,4,0
2017-10-11,176,1,0.0,0.625,0.375,0.0,0.0,2017-10-10,0.183020842,0.234710544,0.180756488,0.190729086,17678.251619145667,3242907.401489857,4,0
2017-10-12,177,0,0.0865,0.79,0.1235,0.0,0.0,2017-10-11,0.190937863,0.200987673,0.171853527,0.198765392,5791.306566695107,3052660.7575056907,4,0
2017-10-13,178,-1,0.181,0.667,0.152,0.0,0.0,2017-10-12,0.193240393,0.225956111,0.192955266,0.209802538,9403.690883487923,3234135.3566795136,4,0
2017-10-14,179,0,0.0,1.0,0.0,0.5,0.0,2017-10-13,0.210313753,0.225623264,0.188036064,0.200174172,11094.921689378723,3181670.7740850104,4,0
2017-10-15,180,1,0.0,0.9245,0.0755,0.5,0.0,2017-10-14,0.200139974,0.219684919,0.135557037,0.209349126,12583.783177311348,2865118.7163073067,4,0
2017-10-16,181,0,0.021,0.941,0.038,0.25,0.0,2017-10-15,0.209899913,0.221557293,0.1773041,0.192804302,10882.06488803929,3126253.352068444,4,0
2017-10-17,182,1,0.0,0.8360000000000001,0.164,1.0,0.0,2017-10-16,0.193217399,0.206396699,0.140899812,0.143273099,7709.507392931422,2906443.734362572,4,0
2017-10-18,183,1,0.0,0.8206666666666668,0.1793333333333333,1.3333333333333333,0.0,2017-10-17,0.143507613,0.209045288,0.140322006,0.179254704,8690.677434957524,3944126.0017846473,4,0
2017-10-19,184,0,0.0555,0.9445,0.0,0.0,0.0,2017-10-18,0.1792665,0.185752974,0.157875962,0.179320947,11134.064125395442,2749373.9604687146,4,0
2017-10-20,185,0,0.0,1.0,0.0,1.0,0.0,2017-10-19,0.181141511,0.191471388,0.176536572,0.182234658,6205.260826765078,2833421.0892968746,4,0
2017-10-21,186,-1,0.192,0.808,0.0,1.0,0.0,2017-10-20,0.182267387,0.190127302,0.169239293,0.174267382,8286.75987435787,2849286.2897610134,4,0
2017-10-22,187,0,0.0,0.862,0.138,1.0,0.0,2017-10-21,0.173937143,0.197781232,0.159728192,0.16899248,11955.526132593446,2901016.0445880843,4,0
2017-10-25,188,1,0.0,0.8865000000000001,0.1135,6.5,1.0,2017-10-24,0.143620645,0.148883045,0.129745184,0.138725911,9947.23868006632,2240955.371506816,4,0
2017-10-26,189,-1,0.143,0.857,0.0,1.0,0.0,2017-10-25,0.138715787,0.147182154,0.1260805,0.133800316,6625.938254567806,2198012.0745252823,4,0
2017-10-27,190,0,0.0,1.0,0.0,0.5,0.0,2017-10-26,0.138949645,0.155548986,0.134094385,0.155016619,7146.215574110897,2310089.160992233,4,0
2017-10-28,191,1,0.0,0.8450000000000001,0.155,0.6666666666666666,0.0,2017-10-27,0.155030734,0.155030734,0.13560505,0.14033696,6720.639379632915,2222617.2189615904,4,0
2017-10-29,192,1,0.0,0.8045,0.1955,1.5,0.0,2017-10-28,0.140567803,0.168528013,0.137117599,0.156849698,4386.333345083603,2380242.131788507,4,0
2017-10-30,193,0,0.0,1.0,0.0,0.5,0.0,2017-10-29,0.157135618,0.165934768,0.147193028,0.147579619,8067.472187052301,2458609.8288440523,4,0
2017-10-31,194,0,0.0,0.9075,0.0925,1.5,0.0,2017-10-30,0.147038646,0.159195444,0.139848735,0.141597125,7804.693612606876,2543944.1517024324,4,0
2017-11-03,195,0,0.0,0.9365,0.0635,3.0,0.0,2017-11-02,0.136918851,0.14848929,0.121511974,0.125875329,11649.624700646964,2246285.595809792,4,0
2017-11-04,196,0,0.0,1.0,0.0,0.0,0.0,2017-11-03,0.125913266,0.154518928,0.121882823,0.133267956,9586.550497676684,2054260.6635995333,4,0
2017-11-05,197,0,0.0,0.883,0.117,0.0,1.0,2017-11-04,0.133395134,0.139999366,0.121767772,0.138685272,4684.33252620296,2163535.3978302465,4,0
2017-11-07,198,1,0.0,0.81,0.19,2.5,0.0,2017-11-06,0.117840274,0.136182733,0.115025922,0.121182815,8557.974549560418,1975738.5209782163,4,0
2017-11-08,199,-1,0.114,0.831,0.055,0.0,0.0,2017-11-07,0.121206986,0.12832706,0.117128286,0.119793966,5281.842385031938,1878825.168887823,4,0
2017-11-12,200,-1,0.1455,0.8545,0.0,1.0,0.5,2017-11-11,0.136094251,0.150606031,0.128772302,0.132789446,5010.038842069267,2199768.306856471,4,0
2017-11-13,201,-1,0.08325,0.91675,0.0,0.25,0.0,2017-11-12,0.149075799,0.179420235,0.121933602,0.163992011,7844.835446587335,2318518.6022719606,4,0
2017-11-14,202,0,0.0,0.9087142857142856,0.0912857142857142,0.0,0.0,2017-11-13,0.163851259,0.20161168,0.162755809,0.181874426,19273.467901816548,2737917.6646720227,4,0
2017-11-15,203,0,0.0,1.0,0.0,1.0,0.0,2017-11-14,0.18218342,0.286233087,0.171953345,0.266141388,32649.43617328806,3248653.1640549363,4,0
2017-11-17,204,0,0.022,0.8308181818181818,0.1471818181818182,3.636363636363636,0.7272727272727273,2017-11-16,0.25447547,0.404466946,0.239155074,0.393400477,35413.62154922838,4592835.779329935,4,0
2017-11-18,205,0,0.0791666666666666,0.8414999999999999,0.0793333333333333,0.0,0.0,2017-11-17,0.361551143,0.540326653,0.31827624,0.442991722,151595.08170124263,6549736.107733688,4,0
2017-11-19,206,0,0.168,0.637,0.195,0.0,0.0,2017-11-18,0.441143994,0.488327632,0.347331025,0.369020214,122871.65644934928,7478311.09696085,4,0
2017-11-20,207,-1,0.0633333333333333,0.8863333333333333,0.0503333333333333,0.3333333333333333,0.0,2017-11-19,0.368754495,0.434180707,0.348779186,0.385023909,46046.77546636205,5305073.101543014,4,0
2017-11-21,208,0,0.0856666666666666,0.81,0.1043333333333333,0.0,0.3333333333333333,2017-11-20,0.384701548,0.404570199,0.361110766,0.37895865,34407.15640061385,5306603.126635037,4,0
2017-11-23,209,0,0.0,1.0,0.0,0.0,0.0,2017-11-22,0.333926763,0.390040046,0.285803927,0.338850188,46441.69808601652,4784411.69923998,4,0
2017-11-25,210,0,0.0,1.0,0.0,0.0,0.0,2017-11-24,0.312687601,0.35173059,0.274017762,0.293227932,18734.283149976163,4110646.7315264377,4,0
2017-11-26,211,0,0.036,0.92,0.0436666666666666,0.3333333333333333,0.0,2017-11-25,0.293160023,0.358206579,0.291489207,0.358206579,16333.090986586018,4364661.088581937,4,0
2017-11-27,212,0,0.0,1.0,0.0,0.3333333333333333,0.0,2017-11-26,0.360981046,0.392927769,0.330709078,0.384135435,42816.71220072146,4943181.434818064,4,0
2017-11-29,213,1,0.0,0.931,0.069,0.0,0.0,2017-11-28,0.328373454,0.35679134,0.261780619,0.265310172,30788.48079123309,4030058.599588652,4,0
2017-11-30,214,0,0.0,1.0,0.0,0.0,0.0,2017-11-29,0.265631534,0.360585193,0.224340749,0.287715849,26084.54217875118,3985682.781965348,4,0
2017-12-01,215,0,0.0,1.0,0.0,1.0,0.0,2017-11-30,0.29233768,0.33258667,0.254127283,0.311605127,24448.54138281092,4001495.6369072353,4,0
2017-12-03,216,0,0.0,1.0,0.0,0.0,0.0,2017-12-02,0.299895418,0.341851489,0.296349744,0.309349199,33853.13879452639,4359439.532025802,4,0
2017-12-04,217,0,0.0,1.0,0.0,1.3333333333333333,0.3333333333333333,2017-12-03,0.309256895,0.352163044,0.3005284,0.330660047,34679.20874821,4511684.388087486,4,0
2017-12-05,218,1,0.015,0.7402,0.2448,3.4,1.4,2017-12-04,0.331078402,0.386054897,0.327138652,0.352281023,29685.41146884766,4890027.779859571,4,0
2017-12-06,219,-1,0.1093333333333333,0.8906666666666667,0.0,0.0,0.0,2017-12-05,0.352890032,0.57574418,0.351300718,0.520763427,76156.37479221648,6460897.085734902,4,0
2017-12-07,220,0,0.0,1.0,0.0,1.0,0.0,2017-12-06,0.521204312,0.527158308,0.436968033,0.453922931,125877.21879036375,6713363.205632831,4,0
2017-12-08,221,0,0.0435,0.931,0.0255,0.25,0.25,2017-12-07,0.46401012,0.496657289,0.352853127,0.455629725,45547.87242452423,6012929.00082033,4,0
2017-12-09,222,0,0.159,0.682,0.159,0.0,0.0,2017-12-08,0.456550809,0.507414797,0.373212684,0.445018999,46740.25848221328,5881563.62652406,4,0
2017-12-13,223,0,0.0,1.0,0.0,2.0,0.5,2017-12-12,0.418249214,0.432100807,0.39071156,0.419390446,50354.40061649461,5851937.29486196,4,0
2017-12-14,224,0,0.0,0.9685,0.0315,1.75,0.75,2017-12-13,0.419320049,0.424413614,0.378226694,0.400758102,44846.27369268855,5924535.982349987,4,0
2017-12-15,225,0,0.0775,0.856,0.0665,26.0,2.0,2017-12-14,0.41262894,0.413002346,0.362315535,0.378586499,26213.1326811916,5575575.77422899,4,0
2017-12-16,226,-1,0.0795,0.847,0.0735,0.0,0.0,2017-12-15,0.378650034,0.4251079,0.314858486,0.350358251,29663.229121134817,5390391.133614755,4,0
2017-12-17,227,0,0.0,0.95625,0.04375,4.75,0.5,2017-12-16,0.350628511,0.415287605,0.334997728,0.411925927,25432.287461301108,5353049.512994553,4,0
2017-12-18,228,-1,0.238,0.762,0.0,0.0,0.0,2017-12-17,0.411292132,0.425478733,0.359541039,0.40587328,28260.261572206386,5757423.441757905,4,0
2017-12-19,229,-1,0.187,0.813,0.0,1.0,0.0,2017-12-18,0.406608152,0.407291942,0.356925648,0.380706531,30640.02897397672,5484583.068733428,4,0
2017-12-20,230,-1,0.175,0.772,0.054,11.0,0.0,2017-12-19,0.38115258,0.405703289,0.352451587,0.378883201,39025.57033258231,5352253.194343669,4,0
2017-12-21,231,0,0.0,0.85875,0.14125,0.5,0.0,2017-12-20,0.379095601,0.379095601,0.285966622,0.348460645,33819.92665447639,4703470.0028834175,4,0
2017-12-22,232,0,0.0,0.97,0.03,0.5,0.5,2017-12-21,0.344417273,0.394028134,0.336979356,0.366042173,45172.9787680798,5155972.736659486,4,0
2017-12-23,233,0,0.0833333333333333,0.7963333333333334,0.1203333333333333,1.0,0.3333333333333333,2017-12-22,0.367773556,0.417669468,0.228847928,0.387061667,35145.165205732,4519414.133510751,4,0
2017-12-24,234,1,0.0586,0.7656,0.176,0.0,0.0,2017-12-23,0.361774964,0.400704661,0.275127163,0.304477493,32625.52003401362,4262802.058578894,4,0
2017-12-25,235,1,0.0,0.8407142857142856,0.1592857142857142,0.2857142857142857,0.2857142857142857,2017-12-24,0.304428096,0.364673503,0.250247261,0.317916103,33931.820014483324,4433928.200474695,4,0
2017-12-26,236,1,0.0,0.8917999999999999,0.1081999999999999,0.8,0.2,2017-12-25,0.31926143,0.606214385,0.318821174,0.420219574,91483.4387088218,5868949.380214274,4,0
2017-12-27,237,0,0.06275,0.8732500000000001,0.064,5.125,0.25,2017-12-26,0.42284474,0.597445777,0.396530046,0.506628859,228962.86879301147,7167708.985597484,4,0
2017-12-28,238,0,0.0,0.7085,0.2915,0.0,0.0,2017-12-27,0.505618733,0.60552667,0.446951805,0.513763302,156719.7281558848,7097953.5015085945,4,0
2017-12-29,239,-1,0.092,0.8345,0.074,0.0,0.0,2017-12-28,0.505407043,0.529255521,0.45268393,0.47585044,101635.766466573,7013906.893507576,4,0
2017-12-30,240,1,0.0,0.79,0.21,0.5,0.0,2017-12-29,0.481251111,0.649771652,0.47988876,0.555086139,93171.51138610944,7856118.397672389,4,0
2017-12-31,241,0,0.0,0.9053333333333334,0.0946666666666666,0.0,0.0,2017-12-30,0.555577381,0.609303124,0.421313842,0.485446828,101227.07321693804,7329825.469249553,4,0
2018-01-01,242,1,0.0,0.8533333333333334,0.1466666666666666,1.3333333333333333,0.3333333333333333,2017-12-31,0.480425498,0.488077754,0.473951328,0.488077754,63701.4627342671,6950250.15985,4,0
2018-01-02,243,1,0.0,0.733,0.267,0.5,0.5,2018-01-01,0.457039885,0.466329187,0.391245642,0.42265788,95639.8025972346,5238470.686253016,4,0
2018-01-03,244,0,0.0,0.888,0.112,1.0,0.0,2018-01-02,0.424759294,0.494293951,0.397420785,0.452011479,92502.18740483488,6713405.045089851,4,0
2018-01-04,245,-1,0.127,0.873,0.0,2.0,0.0,2018-01-03,0.450323554,0.522145402,0.429164371,0.510996672,130687.82348004032,6726560.538209412,4,0
2018-01-05,246,1,0.0,0.8454999999999999,0.1545,1.5,0.0,2018-01-04,0.514664596,0.685881797,0.466174037,0.612498291,116902.0743950862,8022626.393071291,4,0
2018-01-06,247,0,0.0378333333333333,0.8766666666666666,0.0855,2.333333333333333,0.6666666666666666,2018-01-05,0.611959043,0.655564786,0.548975656,0.561116827,160869.6625044964,8598953.367937366,4,0
2018-01-07,248,0,0.0511,0.9106,0.0383,18.4,3.0,2018-01-06,0.561321983,0.667694609,0.525483465,0.57475593,109591.45498592051,8797707.545496633,4,0
2018-01-08,249,0,0.0098333333333333,0.9858333333333332,0.0043333333333333,0.6666666666666666,0.0,2018-01-07,0.617141275,1.062426437,0.611087899,0.990256631,271580.04379440384,11443200.181039387,4,0
2018-01-09,250,1,0.012076923076923,0.8116153846153846,0.1763076923076923,1.8461538461538465,0.2307692307692307,2018-01-08,0.975107184,1.114709589,0.818386775,0.843721006,556253.4769568065,13123210.533035712,4,0
2018-01-10,251,0,0.0,1.0,0.0,20.5,3.25,2018-01-09,0.859948989,1.902717734,0.840477819,1.45634904,533426.3150859186,18154102.84272982,4,0
2018-01-11,252,1,0.0,0.9188571428571428,0.0811428571428571,0.8571428571428571,0.0,2018-01-10,1.470536754,1.716975892,1.006889491,1.302972068,525777.944408358,18251790.703293093,4,0
2018-01-12,253,0,0.0,0.8076666666666666,0.1923333333333333,1.3333333333333333,0.0,2018-01-11,1.307801807,1.597152042,0.989994572,1.159820206,325083.61532900465,18200892.80017869,4,0
2018-01-13,254,0,0.0289999999999999,0.9448,0.0264,1.0,0.0,2018-01-12,1.165814023,1.437818816,1.129886496,1.196990429,283868.5226054983,18464161.903294995,4,0
2018-01-14,255,0,0.0925,0.833,0.0745,2.25,0.5,2018-01-13,1.177652306,1.20892548,1.047485739,1.120563754,308803.09089541424,15622598.687853158,4,0
2018-01-15,256,0,0.0305,0.88375,0.0857499999999999,0.75,0.375,2018-01-14,1.119199411,1.199296131,0.857561678,0.975507489,191435.2494081759,14792138.676624682,4,0
2018-01-16,257,0,0.148,0.7777499999999999,0.0745,0.25,0.0,2018-01-15,0.973569918,1.094006615,0.900052487,0.948574861,203905.28164722657,13912164.92816315,4,0
2018-01-17,258,0,0.0,1.0,0.0,0.0,0.0,2018-01-16,0.950555013,1.003581296,0.610410662,0.698769121,127509.499388611,11567882.4186849,4,0
2018-01-18,259,0,0.0,1.0,0.0,0.0,0.0,2018-01-17,0.724006375,0.733938003,0.4847635,0.602895488,109957.72173487664,8866514.66212789,4,0
2018-01-19,260,-1,0.061,0.9,0.039,0.25,0.0,2018-01-18,0.606977074,0.833100994,0.585445751,0.760450086,147567.5366413525,10312933.686950088,4,0
2018-01-20,261,0,0.02175,0.92575,0.0525,0.25,0.0,2018-01-19,0.758123302,0.894756731,0.732120297,0.887905688,91265.98373805084,11758820.057950154,4,0
2018-01-21,262,0,0.0155,0.95025,0.03425,0.25,0.25,2018-01-20,0.891511311,0.985251884,0.843935073,0.876344372,90021.21575375753,13300018.891350484,4,0
2018-01-24,263,0,0.0494999999999999,0.8145000000000001,0.136,0.8333333333333334,0.0,2018-01-23,0.618901218,0.719221626,0.585292922,0.691230247,99169.28894256218,9908426.432214558,4,0
2018-01-26,264,0,0.0166666666666666,0.8748333333333332,0.1083333333333333,0.6666666666666666,0.3333333333333333,2018-01-25,0.676625499,0.714368122,0.599081414,0.647947809,62887.73083021054,9467291.69122542,4,0
2018-01-28,265,1,0.0,0.88825,0.11175,0.0,0.0,2018-01-27,0.560975045,0.583634933,0.508876668,0.53283312,49570.01632767676,7952185.520415831,4,0
2018-01-29,266,0,0.0078,0.9488,0.0434,0.6,0.0,2018-01-28,0.534982866,0.625771215,0.476417375,0.601923214,37650.27148080617,7701762.614835824,4,0
2018-01-30,267,-1,0.172,0.828,0.0,1.0,0.0,2018-01-29,0.600799345,0.645605123,0.474328742,0.572964751,69790.91158611975,7953181.717825103,4,0
2018-01-31,268,0,0.0,1.0,0.0,0.0,0.0,2018-01-30,0.573836276,0.574086908,0.455578923,0.470340858,48317.98663760989,7395546.261650456,4,0
2018-02-01,269,0,0.0,1.0,0.0,0.0,0.0,2018-01-31,0.471295888,0.472960085,0.418716893,0.45082317,27965.58761410988,6282501.144912722,4,0
2018-02-02,270,-1,0.2037999999999999,0.761,0.0351999999999999,0.2,0.0,2018-02-01,0.452561433,0.462106232,0.346506512,0.363640038,27153.87052004904,5781767.079791081,4,0
