,Date,compound,negative,neutral,positive,likes,retweets
190,2017-10-27,0.0,0.0,1.0,0.0,0.5,0.0
191,2017-10-28,0.40596666666666664,0.0,0.8450000000000001,0.155,0.6666666666666666,0.0
192,2017-10-29,0.38585,0.0,0.8045,0.1955,1.5,0.0
193,2017-10-30,0.0,0.0,1.0,0.0,0.5,0.0
194,2017-10-31,0.1806,0.0,0.9075,0.0925,1.5,0.0
195,2017-11-03,0.24695,0.0,0.9365,0.0635,3.0,0.0
196,2017-11-04,0.0,0.0,1.0,0.0,0.0,0.0
197,2017-11-05,0.2481,0.0,0.883,0.117,0.0,1.0
198,2017-11-07,0.2674,0.0,0.81,0.19,2.5,0.0
199,2017-11-08,-0.3182,0.114,0.831,0.055,0.0,0.0
200,2017-11-12,-0.31245,0.1455,0.8545,0.0,1.0,0.5
201,2017-11-13,-0.15285,0.08325,0.91675,0.0,0.25,0.0
202,2017-11-14,0.07818571428571429,0.0,0.9087142857142857,0.09128571428571429,0.0,0.0
203,2017-11-15,0.0,0.0,1.0,0.0,1.0,0.0
204,2017-11-17,0.14959090909090908,0.022,0.8308181818181818,0.1471818181818182,3.6363636363636362,0.7272727272727273
205,2017-11-18,0.0025833333333333264,0.07916666666666666,0.8414999999999999,0.07933333333333333,0.0,0.0
206,2017-11-19,0.2064,0.168,0.637,0.195,0.0,0.0
207,2017-11-20,-0.11333333333333334,0.06333333333333334,0.8863333333333333,0.050333333333333334,0.3333333333333333,0.0
208,2017-11-21,0.16976666666666665,0.08566666666666667,0.81,0.10433333333333333,0.0,0.3333333333333333
209,2017-11-23,0.0,0.0,1.0,0.0,0.0,0.0
210,2017-11-25,0.0,0.0,1.0,0.0,0.0,0.0
211,2017-11-26,0.049800000000000004,0.036,0.9199999999999999,0.043666666666666666,0.3333333333333333,0.0
212,2017-11-27,0.0,0.0,1.0,0.0,0.3333333333333333,0.0
213,2017-11-29,0.5362,0.0,0.931,0.069,0.0,0.0
214,2017-11-30,0.0,0.0,1.0,0.0,0.0,0.0
215,2017-12-01,0.0,0.0,1.0,0.0,1.0,0.0
216,2017-12-03,0.0,0.0,1.0,0.0,0.0,0.0
217,2017-12-04,0.0,0.0,1.0,0.0,1.3333333333333333,0.3333333333333333
218,2017-12-05,0.41167999999999993,0.015,0.7402,0.2448,3.4,1.4
219,2017-12-06,-0.1998,0.10933333333333334,0.8906666666666667,0.0,0.0,0.0
220,2017-12-07,0.0,0.0,1.0,0.0,1.0,0.0
221,2017-12-08,0.098,0.0435,0.931,0.0255,0.25,0.25
222,2017-12-09,0.0,0.159,0.682,0.159,0.0,0.0
223,2017-12-13,0.0,0.0,1.0,0.0,2.0,0.5
224,2017-12-14,0.0193,0.0,0.9685,0.0315,1.75,0.75
