Date,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close
2021-04-09,418.05472051,453.69782245,405.44361172,453.17848235,4701175012.77,70030932980.39,2021-04-09T00:00:00.000Z,2021-04-09T23:51:17.000Z,2021-04-09T03:17:09.000Z,2021-04-09T23:59:59.999Z
2021-04-08,376.26901258,422.46657988,372.51517584,418.03838234,4550316562.26,64600635460.49,2021-04-08T00:00:00.000Z,2021-04-08T20:01:11.000Z,2021-04-08T00:07:09.000Z,2021-04-08T23:59:59.999Z
2021-04-07,403.69928963,414.35766717,358.74381442,374.65880229,5976362848.55,57897068142.66,2021-04-07T00:00:00.000Z,2021-04-07T06:08:09.000Z,2021-04-07T11:34:09.000Z,2021-04-07T23:59:59.999Z
2021-04-06,368.09903446,412.25673614,364.12966558,403.5907625,5277448222.28,62368004529.21,2021-04-06T00:00:00.000Z,2021-04-06T22:38:09.000Z,2021-04-06T02:05:10.000Z,2021-04-06T23:59:59.999Z
2021-04-05,351.24105281,381.02929644,339.46163009,367.77249051,4073047973.02,56832907205.38,2021-04-05T00:00:00.000Z,2021-04-05T14:28:09.000Z,2021-04-05T06:25:11.000Z,2021-04-05T23:59:59.999Z
2021-04-04,323.35486289,353.4341945,319.84903429,351.62439684,3200674445.52,54337497318.26,2021-04-04T00:00:00.000Z,2021-04-04T21:12:09.000Z,2021-04-04T00:04:09.000Z,2021-04-04T23:59:59.999Z
2021-04-03,338.90917135,349.62989889,319.19378631,323.13352019,2953164849.36,49934722802.14,2021-04-03T00:00:00.000Z,2021-04-03T13:02:08.000Z,2021-04-03T22:34:09.000Z,2021-04-03T23:59:59.999Z
2021-04-02,335.085963,356.78349562,329.75137528,339.00772696,3950524038.93,52387808183.56,2021-04-02T00:00:00.000Z,2021-04-02T06:32:08.000Z,2021-04-02T19:10:13.000Z,2021-04-02T23:59:59.999Z
2021-04-01,302.24548258,339.20909943,301.58866824,335.21287849,3718677616.2,51801379680.4,2021-04-01T00:00:00.000Z,2021-04-01T23:10:18.000Z,2021-04-01T00:17:10.000Z,2021-04-01T23:59:59.999Z
2021-03-31,311.55142141,316.48652991,289.00926419,302.06345942,3545493415.76,46678707631.3,2021-03-31T00:00:00.000Z,2021-03-31T01:01:12.000Z,2021-03-31T08:07:09.000Z,2021-03-31T23:59:59.999Z
2021-03-30,275.23865886,311.42649356,271.5785615,311.42649356,4039620710.26,48125603373.34,2021-03-30T00:00:00.000Z,2021-03-30T23:59:16.000Z,2021-03-30T02:19:09.000Z,2021-03-30T23:59:59.999Z
2021-03-29,268.96939654,277.47900808,265.36782836,275.21461939,2067448660.73,42529681606.5,2021-03-29T00:00:00.000Z,2021-03-29T08:52:11.000Z,2021-03-29T01:17:10.000Z,2021-03-29T23:59:59.999Z
2021-03-28,269.31072039,280.99241089,262.28866268,269.19128686,2527142068.75,41598879255.91,2021-03-28T00:00:00.000Z,2021-03-28T04:38:09.000Z,2021-03-28T19:17:14.000Z,2021-03-28T23:59:59.999Z
2021-03-27,255.11648075,275.59338974,250.49480419,269.10231416,2457659539.9,41585130056.69,2021-03-27T00:00:00.000Z,2021-03-27T22:52:22.000Z,2021-03-27T03:15:12.000Z,2021-03-27T23:59:59.999Z
2021-03-26,234.79093844,255.10456453,234.79093844,255.10456453,2099285452.1,39422018823.48,2021-03-26T00:00:00.000Z,2021-03-26T23:59:12.000Z,2021-03-26T00:00:12.000Z,2021-03-26T23:59:59.999Z
2021-03-25,249.46591388,250.13923706,227.2940616,234.88542998,2314734091.38,36297499650.18,2021-03-25T00:00:00.000Z,2021-03-25T00:17:10.000Z,2021-03-25T12:31:13.000Z,2021-03-25T23:59:59.999Z
2021-03-24,255.8942973,268.62086446,243.22813921,249.85138142,2385752951.12,38610229806.9,2021-03-24T00:00:00.000Z,2021-03-24T13:38:10.000Z,2021-03-24T22:29:10.000Z,2021-03-24T23:59:59.999Z
2021-03-23,255.94509275,263.14928743,253.0116398,255.68967121,2010488139.25,39512436988.25,2021-03-23T00:00:00.000Z,2021-03-23T13:34:09.000Z,2021-03-23T06:58:08.000Z,2021-03-23T23:59:59.999Z
2021-03-22,265.07029525,276.96869808,255.21086677,255.9001907,2323911465.97,39544969150.46,2021-03-22T00:00:00.000Z,2021-03-22T18:02:09.000Z,2021-03-22T22:04:09.000Z,2021-03-22T23:59:59.999Z
2021-03-21,264.9569492,268.87817106,257.5182721,264.8861617,1718563710.98,40933596276.01,2021-03-21T00:00:00.000Z,2021-03-21T01:32:09.000Z,2021-03-21T12:27:10.000Z,2021-03-21T23:59:59.999Z
2021-03-20,264.0922024,274.87318309,262.97250115,264.74167667,2004752538.5,40911268600.67,2021-03-20T00:00:00.000Z,2021-03-20T15:45:16.000Z,2021-03-20T00:13:08.000Z,2021-03-20T23:59:59.999Z
2021-03-19,261.63041716,269.23470704,256.27327654,264.0574314,1873443829.87,40805530274.22,2021-03-19T00:00:00.000Z,2021-03-19T11:23:08.000Z,2021-03-19T00:24:11.000Z,2021-03-19T23:59:59.999Z
2021-03-18,269.63784976,277.77224146,258.72640984,261.70480662,2445995133.59,40441972615.11,2021-03-18T00:00:00.000Z,2021-03-18T08:18:09.000Z,2021-03-18T20:01:08.000Z,2021-03-18T23:59:59.999Z
2021-03-17,258.38587392,270.96289133,249.92892226,269.85484604,2271426252.06,41701420903.84,2021-03-17T00:00:00.000Z,2021-03-17T23:25:15.000Z,2021-03-17T12:17:09.000Z,2021-03-17T23:59:59.999Z
2021-03-16,254.45044148,258.87612977,242.18153935,258.10066992,2425543829.73,39885015333.25,2021-03-16T00:00:00.000Z,2021-03-16T09:37:09.000Z,2021-03-16T01:07:10.000Z,2021-03-16T23:59:59.999Z
2021-03-15,264.06349542,267.23372343,250.61298049,254.66082858,2488528409.59,39353447070.91,2021-03-15T00:00:00.000Z,2021-03-15T04:08:10.000Z,2021-03-15T07:25:11.000Z,2021-03-15T23:59:59.999Z
2021-03-14,276.18574124,276.37125001,264.63673926,264.63673926,2044273969.56,40895052331.8,2021-03-14T00:00:00.000Z,2021-03-14T00:04:10.000Z,2021-03-14T23:59:10.000Z,2021-03-14T23:59:59.999Z
2021-03-13,263.59202473,283.0136259,256.18895719,276.10469161,2903774859.28,42667226946.07,2021-03-13T00:00:00.000Z,2021-03-13T11:51:12.000Z,2021-03-13T01:25:10.000Z,2021-03-13T23:59:59.999Z
