Date,Open,High,Low,Close,Volume,Market Cap
2018-07-24,0.4302110,0.4773600,0.2857370,0.4203700,2000,4000000
2018-07-25,0.4127020,0.4216510,0.3143590,0.3552340,340,4300000
2018-07-26,0.3549140,0.4370060,0.3143970,0.3172970,627,3900000
2018-07-27,0.3168960,0.4240170,0.3153710,0.3643180,104,3000000
2018-07-28,0.3650740,0.4413810,0.3358710,0.3809630,1200,3600000
2018-07-29,0.3824180,0.4133740,0.3824180,0.4086570,343,3600000
2018-07-30,0.4089380,0.4108170,0.3691170,0.3833500,420,4100000
2018-07-31,0.3826480,0.3826480,0.3544310,0.3605520,796,3800000
2018-08-01,0.3606300,0.3682760,0.3090660,0.3133700,748,3800000
2018-08-02,0.3391060,0.3767020,0.3028400,0.3441870,29,3300000
2018-08-02,0.3241494,928.17,0.3127468,0.3553754,33,192100000
2018-08-03,0.3551422,0.3567872,0.3098704,0.3100758,141,3400000
2018-08-04,0.3098251,0.3191375,0.2951735,0.3019161,1200,3000000
2018-08-05,0.3019516,0.4287067,0.2672141,0.3503797,2400,3100000
2018-08-06,0.3506826,850.19,0.3504751,0.6569902,10700,75100000
2018-08-07,0.6568844,842.00,0.5007633,0.5007633,6800,74800000
2018-08-08,0.5008852,793.37,0.4986426,0.6270230,7000,731000000
2018-08-09,0.6269936,0.6768115,0.5648805,0.6290160,5400,6000000
2018-08-10,0.6285066,0.8046910,0.6285066,0.6543689,8300,6600000
2018-08-11,0.6541689,0.8190947,0.6509626,0.8094223,4,7400000
2018-08-12,0.8086374,0.8198316,0.8050389,0.8076645,4,7900000
2018-08-13,0.8104778,0.8153140,0.7691801,0.7732508,3,7800000
2018-08-14,0.7701290,0.7722676,0.7165331,0.7380489,3,7100000
2018-08-15,0.7383050,0.7642131,0.6613973,0.6647370,2,7000000
2018-08-16,0.6642564,0.7742463,0.6587175,0.7487830,3,6900000
2018-08-17,0.7480062,0.8144150,0.7480062,0.8137040,4,7600000
2018-08-18,0.8139407,0.8258917,0.7693664,0.7761640,3,7800000
2018-08-19,0.7780146,0.7907992,0.7710445,0.7866950,3,7600000
2018-08-20,0.7875862,0.8050629,0.7566770,0.7566770,3,7600000
2018-08-21,0.7567150,0.7750785,0.7518081,0.7715081,3,7500000
2018-08-22,0.7713226,0.7966627,0.7583786,0.7599859,9,7600000
2018-08-23,0.7599859,0.7599859,0.7599859,0.7599859,26,7400000
2018-08-24,0.7599859,0.7599859,0.6848864,0.6848864,14,6800000
2018-08-25,0.6848864,0.6848864,0.6848864,0.6848864,10,6700000
2018-08-26,0.6848864,0.7715904,0.6848864,0.7715361,8,7400000
2018-08-27,0.7715361,0.7840673,0.7715361,0.7830364,11,7600000
2018-08-28,0.7830364,0.7830364,0.7830364,0.7830364,16,7700000
2018-08-29,0.7830364,0.7830364,0.7830364,0.7830364,17,7700000
2018-08-30,0.7830364,0.7830364,0.7830364,0.7830364,12,7700000
2018-08-31,0.7830364,0.7830364,0.7830364,0.7830364,30,7700000
2018-09-01,0.7830364,0.7830364,0.7830364,0.7830364,21,7700000
2018-09-02,0.7830364,0.7830364,0.7830364,0.7830364,53,7700000
2018-09-03,0.7830364,0.7830364,0.7830364,0.7830364,11,7700000
2018-09-04,0.7830364,0.7830364,0.7830364,0.7830364,32,7700000
2018-09-05,0.7830364,0.7830364,0.7830364,0.7830364,12,7700000
2018-09-06,0.7830364,sty.13,0.7830364,sty.13,29,10500000
2018-09-07,sty.13,sty.13,sty.13,sty.13,34,11000000
2018-09-08,sty.13,sty.13,sty.13,sty.13,48,11000000
2018-09-09,sty.13,sty.25,sty.13,sty.25,27,11300000
2018-09-10,sty.25,sty.25,sty.25,sty.25,27,12200000
2018-09-11,sty.25,sty.25,sty.25,sty.25,23,12200000
2018-09-12,sty.25,sty.25,sty.25,sty.25,52,12200000
2018-09-13,sty.25,sty.25,sty.25,sty.25,52,12200000
2018-09-14,sty.25,sty.25,sty.25,sty.25,31,12200000
2018-09-15,sty.25,sty.25,sty.25,sty.25,10,12200000
2018-09-16,sty.25,sty.25,sty.25,sty.25,59,12200000
2018-09-17,sty.25,sty.25,sty.25,sty.25,27,12200000
2018-09-18,sty.25,sty.25,sty.25,sty.25,53,12200000
2018-09-19,sty.25,sty.25,sty.25,sty.25,28,12200000
2018-09-20,sty.25,sty.25,sty.25,sty.25,29,12200000
2018-09-21,sty.25,sty.25,sty.25,sty.25,26,12200000
