Date,Unnamed: 0,compound,negative,neutral,positive,likes,retweets,Open,High,Low,Close,Volume,Market Cap,Time Open,Time High,Time Low,Time Close,order_number,risk_of_PAD
2018-07-02,47,1,0.0123389830508474,0.8674237288135592,0.1202372881355932,8.40677966101695,3.016949152542373,0.0248707998543977,0.0279983002692461,0.0245165005326271,0.0270182993263006,17659100.0,406742013.539,2018-07-02T00:00:00.000Z,2018-07-02T20:04:00.000Z,2018-07-02T06:29:00.000Z,2018-07-02T23:59:59.999Z,2,0
2018-07-03,48,0,0.0099347826086956,0.9172391304347826,0.0728260869565217,8.282608695652174,3.4565217391304346,0.0270183999091386,0.0280645005404949,0.0254107005894184,0.0260045006871223,12443000.0,391479948.445,2018-07-03T00:00:00.000Z,2018-07-03T05:39:00.000Z,2018-07-03T23:09:00.000Z,2018-07-03T23:59:59.999Z,2,0
2018-07-04,49,1,0.0067435897435897,0.8752051282051283,0.1180769230769231,19.307692307692307,8.051282051282051,0.0259633995592594,0.0273915007710456,0.0251659993082284,0.0261864997446537,8528380.0,394219833.874,2018-07-04T00:00:00.000Z,2018-07-04T13:19:00.000Z,2018-07-04T01:19:00.000Z,2018-07-04T23:59:59.999Z,2,0
2018-07-05,50,0,0.0286111111111111,0.8866666666666666,0.0846944444444444,7.666666666666667,2.611111111111111,0.02631670050323,0.0266976002603769,0.024015599861741,0.0246128998696804,8712510.0,370530362.941,2018-07-05T00:00:00.000Z,2018-07-05T02:09:00.000Z,2018-07-05T18:59:01.000Z,2018-07-05T23:59:59.999Z,2,0
2018-07-06,51,0,0.0202093023255813,0.9105348837209302,0.0692558139534883,3.651162790697674,1.5348837209302326,0.0245945006608963,0.0247830990701913,0.0234677009284496,0.0243504997342824,7089820.0,366580110.543,2018-07-06T00:00:00.000Z,2018-07-06T00:29:00.000Z,2018-07-06T07:44:00.000Z,2018-07-06T23:59:59.999Z,2,0
2018-07-07,52,0,0.0553714285714285,0.8694285714285714,0.0752,2.571428571428572,1.0571428571428572,0.024236699566245,0.0263519994914531,0.024074699729681,0.0262202005833387,6795860.0,394727164.307,2018-07-07T00:00:00.000Z,2018-07-07T23:34:00.000Z,2018-07-07T00:44:01.000Z,2018-07-07T23:59:59.999Z,2,0
2018-07-08,53,0,0.0202954545454545,0.8891590909090908,0.0905227272727272,24.88636363636364,10.886363636363637,0.0262449998408556,0.0265427995473146,0.0256433002650737,0.0256433002650737,7153060.0,386042329.673,2018-07-08T00:00:00.000Z,2018-07-08T02:59:00.000Z,2018-07-08T23:59:02.000Z,2018-07-08T23:59:59.999Z,2,0
2018-07-09,54,0,0.0223877551020408,0.903877551020408,0.0737142857142857,5.387755102040816,2.36734693877551,0.0259307008236646,0.0259307008236646,0.0245807003229856,0.0246878005564212,6390870.0,371657931.175,2018-07-09T00:00:00.000Z,2018-07-09T00:04:04.000Z,2018-07-09T23:34:03.000Z,2018-07-09T23:59:59.999Z,2,0
2018-07-10,55,0,0.0334594594594594,0.8785405405405405,0.088,13.297297297297296,5.567567567567568,0.0247003994882106,0.0247478000819683,0.0215748008340597,0.0217739008367061,6760060.0,327791161.124,2018-07-10T00:00:00.000Z,2018-07-10T00:29:02.000Z,2018-07-10T23:39:06.000Z,2018-07-10T23:59:59.999Z,2,0
2018-07-11,56,0,0.0266486486486486,0.9022702702702704,0.071081081081081,24.027027027027028,11.108108108108109,0.0213428009301424,0.0225742999464273,0.0213428009301424,0.0222283992916345,4724330.0,334633347.537,2018-07-11T00:00:00.000Z,2018-07-11T13:29:02.000Z,2018-07-11T00:04:00.000Z,2018-07-11T23:59:59.999Z,2,0
